timestamp,frame_index,fps,detector,target_found,target_stale,target_label,target_confidence,x_error,y_error,error_norm,pan,tilt,capture_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms,lost_frames
1.848,1,0.54,yolo_rknn,1,0,person,0.4688,-162,-45,168.13,88.00,90.67,1242.379,18.096,169.150,12.722,1444.813,0
1.921,2,1.86,yolo_rknn,1,0,person,0.2642,-175,-135,221.02,86.00,92.67,2.404,6.013,56.118,3.423,70.061,0
1.994,3,3.04,yolo_rknn,1,0,person,0.4070,-162,-47,168.68,84.00,93.38,2.193,4.931,58.305,3.350,70.843,0
2.065,4,4.15,yolo_rknn,1,0,person,0.5420,-161,-45,167.17,82.00,94.05,2.206,4.955,55.365,3.348,67.846,0
2.135,5,5.16,yolo_rknn,1,0,person,0.6074,-161,-45,167.17,80.00,94.73,2.200,4.963,56.174,2.436,67.753,0
2.203,6,6.11,yolo_rknn,1,0,person,0.6104,-154,-56,163.87,78.00,95.57,2.106,4.965,54.310,2.358,65.750,0
2.273,7,6.94,yolo_rknn,1,0,person,0.4470,-160,-57,169.85,76.00,96.42,2.053,4.967,54.167,3.419,66.578,0
2.344,8,7.65,yolo_rknn,1,0,person,0.4771,-162,-51,169.84,74.00,97.19,2.094,4.962,56.150,3.414,68.704,0
2.414,9,8.31,yolo_rknn,1,0,person,0.6807,-168,-68,181.24,72.00,98.21,2.004,4.964,56.110,2.298,67.457,0
2.481,10,8.96,yolo_rknn,1,0,person,0.6821,-176,-79,192.92,70.00,99.39,1.912,4.955,53.909,2.280,65.019,0
2.554,11,9.44,yolo_rknn,1,0,person,0.6074,-180,-81,197.39,68.00,100.61,1.935,4.961,58.171,3.291,70.377,0
2.626,12,9.89,yolo_rknn,1,0,person,0.7666,-187,-79,203.00,66.00,101.80,1.965,4.956,56.618,3.462,69.014,0
2.694,13,10.38,yolo_rknn,1,0,person,0.6343,-195,-88,213.94,64.00,103.11,1.950,4.973,53.842,2.472,65.169,0
2.766,14,10.72,yolo_rknn,1,0,person,0.8506,-202,-90,221.14,62.00,104.46,1.898,4.968,57.941,3.289,70.113,0
2.836,15,11.09,yolo_rknn,1,0,person,0.7021,-205,-100,228.09,60.00,105.96,1.888,4.964,55.745,2.296,66.913,0
2.904,16,11.45,yolo_rknn,1,0,person,0.6660,-212,-102,235.26,58.00,107.49,1.923,4.954,54.330,2.336,65.564,0
2.976,17,11.69,yolo_rknn,1,0,person,0.3477,-219,-116,247.82,56.00,109.23,1.907,4.970,57.508,3.283,69.674,0
3.048,18,11.90,yolo_rknn,1,0,person,0.5806,-225,-124,256.91,54.00,111.09,1.885,4.961,57.731,3.278,69.784,0
3.117,19,12.17,yolo_rknn,1,1,person,0.5806,-225,-124,256.91,52.00,112.95,1.872,4.948,55.068,2.309,66.230,1
3.189,20,12.34,yolo_rknn,1,0,person,0.2761,-231,-138,269.08,50.00,114.95,1.857,4.968,57.805,3.328,69.927,1
3.259,21,12.53,yolo_rknn,1,1,person,0.2761,-231,-138,269.08,48.00,116.95,1.854,4.961,56.732,1.901,67.488,2
3.329,22,12.71,yolo_rknn,1,0,person,0.3540,-245,-156,290.45,46.00,118.95,1.805,4.974,56.321,2.359,67.459,2
3.401,23,12.82,yolo_rknn,1,1,person,0.3540,-245,-156,290.45,45.00,120.00,1.816,4.963,58.141,2.858,69.837,3
3.471,24,12.97,yolo_rknn,1,1,person,0.3540,-245,-156,290.45,45.00,120.00,1.808,4.964,55.787,3.224,67.690,4
3.540,25,13.13,yolo_rknn,1,1,person,0.3540,-245,-156,290.45,45.00,120.00,1.844,4.955,55.406,1.905,66.149,5
3.612,26,13.19,yolo_rknn,1,1,person,0.3540,-245,-156,290.45,45.00,120.00,1.824,4.964,57.942,3.269,69.985,6
3.680,27,13.34,yolo_rknn,1,1,person,0.3540,-245,-156,290.45,45.00,120.00,1.843,4.974,54.713,2.288,65.729,7
3.752,28,13.41,yolo_rknn,1,0,person,0.2842,-222,-37,225.06,45.00,120.00,1.854,4.971,57.729,2.335,68.896,7
3.821,29,13.52,yolo_rknn,1,0,person,0.3948,-236,-48,240.83,45.00,120.00,1.840,4.958,54.543,3.356,66.610,7
3.890,30,13.61,yolo_rknn,1,0,person,0.4314,-239,-48,243.77,45.00,120.00,1.848,4.964,54.327,3.379,66.531,7
3.961,31,13.66,yolo_rknn,1,0,person,0.3938,-245,-16,245.52,45.00,120.00,1.844,4.960,57.228,2.366,68.419,7
4.032,32,13.71,yolo_rknn,1,1,person,0.3938,-245,-16,245.52,45.00,120.00,1.852,4.956,56.280,3.256,68.338,8
4.100,33,13.81,yolo_rknn,1,0,person,0.3838,-246,-22,246.98,45.00,120.00,1.853,4.959,54.404,2.375,65.590,8
4.171,34,13.83,yolo_rknn,1,1,person,0.3838,-246,-22,246.98,45.00,120.00,1.836,4.963,57.925,2.305,69.018,9
